id,temperature_c,humidity_pct,wind_speed_kmh,rainfall_last_day_mm,people_displaced,fire_last_year,fire_last_5_years,fire_ever,fire_occurred,trees_burned
1,25.3,25.5,31.2,1.47,0,No,No,No,No,NA
2,30.9,20.6,24.7,0.47,0,No,No,No,No,NA
3,16.2,71.2,18.3,22.12,0,No,No,No,No,NA
4,25.7,28.1,58.3,1.01,638,No,Yes,Yes,Yes,2704
5,22.9,30.9,45.1,2.66,911,Yes,Yes,Yes,Yes,1902
6,28.8,29.1,61.7,0.33,86,No,No,Yes,Yes,3275
7,19.3,64.1,21.4,24.77,0,No,No,No,No,NA
8,28.4,50.5,23.0,0.74,0,No,Yes,Yes,No,NA
9,22.1,45.0,46.0,5.32,211,No,Yes,Yes,Yes,1188
10,22.2,55.0,32.8,1.18,12,No,Yes,Yes,Yes,713
11,34.3,34.4,74.4,0.02,181,No,No,Yes,Yes,1968
12,23.7,25.1,48.9,2.16,0,No,No,No,No,NA
13,21.1,81.8,19.0,17.06,0,No,No,No,No,NA
14,20.4,74.5,18.3,2.01,0,No,No,Yes,No,NA
15,33.1,14.8,84.0,0.08,297,No,No,Yes,Yes,7296
16,13.7,73.2,28.2,24.22,0,No,No,No,No,NA
17,14.3,80.0,18.4,18.07,0,No,No,No,No,NA
18,7.9,78.5,16.8,13.05,0,No,No,No,No,NA
19,35.0,23.4,81.6,0.04,1770,No,No,Yes,Yes,805
20,30.9,24.5,56.3,0.19,0,No,Yes,Yes,No,NA
21,40.8,24.7,35.9,0.2,316,No,No,Yes,Yes,528
22,36.0,27.5,54.5,0.81,0,No,No,Yes,No,NA
23,20.4,84.2,37.8,21.67,0,No,No,No,No,NA
24,16.2,92.6,8.3,5.08,0,No,No,No,No,NA
25,31.4,28.9,69.2,1.57,0,Yes,Yes,Yes,No,NA
26,39.5,17.2,74.9,0.03,55,No,Yes,Yes,Yes,1855
27,18.8,37.2,41.2,3.77,0,No,No,No,No,NA
28,40.1,15.1,65.0,0.26,675,No,Yes,Yes,Yes,1419
29,29.3,53.7,15.3,5.16,0,No,Yes,Yes,No,NA
30,24.3,77.0,27.0,8.65,0,No,No,No,No,NA
31,38.0,29.7,89.2,0.01,44,No,Yes,Yes,Yes,3805
32,13.6,67.0,16.3,10.54,0,No,No,No,No,NA
33,16.9,82.6,35.4,5.03,0,No,No,No,No,NA
34,36.3,10.2,88.8,0.08,2864,No,No,Yes,Yes,2637
35,20.5,75.9,19.6,4.67,0,No,No,No,No,NA
36,43.7,11.6,45.0,0.05,378,No,No,Yes,Yes,2465
37,24.8,75.3,27.0,2.45,0,No,No,No,No,NA
38,30.8,42.3,52.4,0.8,0,No,No,Yes,No,NA
39,30.7,31.3,58.4,0.61,0,Yes,Yes,Yes,No,NA
40,22.8,36.4,42.1,3.13,0,No,No,No,No,NA
41,15.3,60.7,36.3,8.75,0,No,No,No,No,NA
42,33.4,15.4,73.7,0.16,3,No,Yes,Yes,Yes,2575
43,18.9,83.5,32.1,7.33,0,No,No,No,No,NA
44,26.2,48.3,19.4,7.25,0,No,No,No,No,NA
45,24.0,40.9,19.5,3.65,0,No,No,No,No,NA
46,21.2,62.5,18.7,2.01,0,No,No,No,No,NA
47,25.3,26.4,42.7,2.7,0,No,No,No,No,NA
48,21.6,62.1,21.6,13.15,0,No,No,No,No,NA
49,13.7,75.6,9.0,5.85,0,No,No,No,No,NA
50,29.6,37.7,48.8,1.44,1038,Yes,Yes,Yes,Yes,2763
51,24.4,41.1,47.8,1.39,0,No,No,No,No,NA
52,29.6,36.0,53.4,1.98,0,No,No,No,No,NA
53,35.4,29.4,60.2,1.66,146,No,No,Yes,Yes,3292
54,40.0,20.4,87.6,0.27,135,Yes,Yes,Yes,Yes,2857
55,22.1,56.6,15.2,11.77,0,No,No,No,No,NA
56,26.3,40.4,57.8,0.06,0,No,No,No,No,NA
57,28.1,22.0,70.1,1.71,0,No,No,Yes,No,NA
58,20.0,82.4,24.6,9.0,0,No,No,No,No,NA
59,30.0,41.8,56.8,2.94,0,No,No,No,No,NA
60,24.8,20.5,50.7,0.54,0,Yes,Yes,Yes,No,NA
61,23.4,52.6,24.7,7.63,0,No,No,No,No,NA
62,28.2,25.8,80.0,0.7,480,No,No,Yes,Yes,4324
63,40.1,12.1,58.4,0.06,2159,Yes,Yes,Yes,Yes,2611
64,24.6,57.7,5.6,7.62,0,No,No,No,No,NA
65,32.4,29.0,43.7,2.49,976,No,No,Yes,Yes,1132
66,27.4,26.9,42.1,1.48,0,No,No,Yes,No,NA
67,29.3,34.2,65.4,1.66,0,No,No,Yes,No,NA
68,38.0,28.4,96.5,0.46,500,Yes,Yes,Yes,Yes,3009
69,34.8,28.4,53.5,0.99,1059,No,Yes,Yes,Yes,776
70,12.1,83.7,12.6,18.84,0,No,No,No,No,NA
71,35.8,24.8,71.7,0.19,734,No,No,Yes,Yes,1984
72,33.0,36.0,34.1,1.36,716,No,Yes,Yes,Yes,897
73,7.8,82.1,19.5,39.18,0,No,No,No,No,NA
74,33.3,25.9,38.0,0.6,0,Yes,Yes,Yes,No,NA
75,39.1,12.5,102.1,0.49,255,No,Yes,Yes,Yes,2911
76,29.4,16.3,59.7,1.15,308,No,Yes,Yes,Yes,2122
77,28.7,40.8,29.0,1.57,0,No,No,No,No,NA
78,29.9,26.1,49.8,2.44,0,No,No,No,No,NA
79,13.1,76.6,6.6,13.4,0,No,No,No,No,NA
80,27.0,36.9,31.7,0.69,0,No,No,No,No,NA
81,28.9,19.7,50.6,1.58,59,No,No,Yes,Yes,384
82,40.7,11.4,60.0,0.31,2162,Yes,Yes,Yes,Yes,1029
83,17.4,70.9,27.9,22.57,0,No,No,No,No,NA
84,33.2,24.4,80.2,0.29,0,No,No,No,No,NA
85,37.5,25.3,60.5,0.52,1169,No,Yes,Yes,Yes,3099
86,25.7,38.4,54.3,0.99,0,No,No,Yes,No,NA
87,12.4,62.2,17.6,5.55,0,No,No,No,No,NA
88,40.5,17.2,54.8,0.09,311,No,No,Yes,Yes,4580
89,35.7,24.0,57.3,0.97,217,Yes,Yes,Yes,Yes,2767
90,29.6,22.3,61.6,1.0,0,No,No,No,No,NA
91,35.4,19.6,78.3,0.46,182,No,Yes,Yes,Yes,2845
92,25.7,40.8,30.7,0.01,0,No,No,No,No,NA
93,30.0,29.8,30.9,2.15,129,No,Yes,Yes,Yes,709
94,22.6,37.1,41.4,1.27,0,No,No,No,No,NA
