id,temperature_c,humidity_pct,wind_speed_kmh,rainfall_last_day_mm,people_displaced,fire_last_year,fire_last_5_years,fire_ever,fire_occurred,trees_burned
1,29.5,42.9,16.7,6.66,42,No,Yes,Yes,Yes,93
2,16.2,80.7,13.7,7.91,0,No,No,No,No,NA
3,25.0,21.0,33.8,2.23,71,No,Yes,Yes,Yes,1242
4,25.7,27.4,46.9,0.25,351,No,Yes,Yes,Yes,885
5,33.2,13.6,96.8,0.08,157,Yes,Yes,Yes,Yes,4292
6,22.6,58.8,17.2,2.71,0,No,No,No,No,NA
7,27.5,36.4,38.6,1.4,0,No,No,No,No,NA
8,33.4,38.9,43.7,1.33,316,No,No,Yes,Yes,2789
9,31.8,31.9,57.6,1.07,0,No,No,No,No,NA
10,15.0,73.2,10.0,18.68,0,No,No,No,No,NA
11,32.8,20.6,45.5,0.86,157,No,No,Yes,Yes,4319
12,26.8,24.6,31.7,0.97,0,No,Yes,Yes,No,NA
13,26.1,41.4,19.4,6.94,0,No,No,No,No,NA
14,37.9,22.8,87.1,0.34,724,No,Yes,Yes,Yes,3289
15,29.9,21.8,42.1,0.0,136,No,Yes,Yes,Yes,127
16,42.4,22.0,78.4,0.12,424,No,No,Yes,Yes,2935
17,36.2,23.8,81.0,0.21,0,No,No,Yes,No,NA
18,41.9,13.1,68.6,0.05,1030,No,Yes,Yes,Yes,1810
19,13.0,89.7,20.2,11.83,0,No,No,No,No,NA
20,7.6,82.3,19.6,39.64,0,No,No,No,No,NA
21,14.0,93.9,13.9,37.8,0,No,No,No,No,NA
22,20.8,37.0,31.5,3.03,0,No,No,No,No,NA
23,28.1,29.6,51.1,3.2,549,No,No,Yes,Yes,3732
24,19.3,70.9,7.2,19.03,0,No,No,No,No,NA
25,32.2,23.4,26.4,0.3,0,No,No,No,No,NA
26,21.1,69.9,16.9,18.87,0,No,No,No,No,NA
27,32.2,24.5,69.0,0.26,0,No,No,Yes,No,NA
28,5.4,75.3,15.0,31.73,0,No,No,No,No,NA
29,15.6,73.5,27.4,13.92,0,No,No,No,No,NA
30,13.3,63.8,25.3,22.2,0,No,No,No,No,NA
31,16.7,66.8,23.1,12.02,0,No,No,No,No,NA
32,16.8,79.4,36.5,4.25,0,No,Yes,Yes,No,NA
33,41.9,23.5,56.6,0.31,1237,No,Yes,Yes,Yes,2599
34,20.8,83.6,17.8,15.31,0,No,No,No,No,NA
35,19.2,64.8,12.9,14.08,0,No,No,No,No,NA
36,40.2,27.9,59.3,0.72,987,No,Yes,Yes,Yes,3344
37,30.0,28.4,48.9,1.41,0,No,Yes,Yes,No,NA
38,32.2,20.4,47.7,0.88,1438,No,Yes,Yes,Yes,909
39,25.8,25.4,65.3,0.36,0,No,No,No,No,NA
40,35.3,20.7,80.9,0.49,15,No,Yes,Yes,Yes,1889
41,33.0,21.7,62.8,0.13,0,No,Yes,Yes,No,NA
42,38.1,10.9,92.6,0.94,520,Yes,Yes,Yes,Yes,10254
43,34.0,18.6,53.9,0.04,1002,No,Yes,Yes,Yes,1568
44,31.6,33.0,52.8,1.09,0,No,No,No,No,NA
45,38.9,29.6,70.6,0.83,20,No,No,Yes,Yes,1949
46,31.3,37.6,41.5,0.11,0,No,Yes,Yes,No,NA
47,20.9,25.9,43.4,0.63,0,No,No,Yes,No,NA
48,15.2,60.9,36.5,7.79,0,No,No,No,No,NA
49,29.7,30.1,30.0,1.01,6,Yes,Yes,Yes,Yes,341
50,6.1,93.9,22.1,10.43,0,No,No,No,No,NA
51,22.7,26.5,64.4,0.6,0,No,No,No,No,NA
52,42.7,20.2,60.8,0.21,41,No,Yes,Yes,Yes,5121
53,27.6,34.2,63.2,2.57,39,No,Yes,Yes,Yes,2843
54,40.1,19.6,59.4,0.0,126,No,No,Yes,Yes,3054
